source,target,weight,type,group
10,proxy_8,2,routing,8
14,proxy_4,2,routing,4
10,proxy_8,50,routing,8
19,proxy_1,50,routing,1
10,proxy_8,1,routing,8
47,proxy_4,1,routing,4
10,proxy_8,2,routing,8
52,proxy_3,2,routing,3
10,proxy_8,7,routing,8
60,proxy_3,7,routing,3
10,proxy_8,5,routing,8
65,proxy_7,5,routing,7
10,proxy_8,1,routing,8
114,proxy_3,1,routing,3
10,proxy_8,1,routing,8
122,proxy_5,1,routing,5
13,proxy_3,14,routing,3
14,proxy_4,14,routing,4
13,proxy_3,2,routing,3
19,proxy_1,2,routing,1
13,proxy_3,14,routing,3
20,proxy_0,14,routing,0
13,proxy_3,1,routing,3
22,proxy_6,1,routing,6
13,proxy_3,9,routing,3
38,proxy_6,9,routing,6
13,proxy_3,7,routing,3
41,proxy_8,7,routing,8
13,proxy_3,9,routing,3
42,proxy_6,9,routing,6
13,proxy_3,3,routing,3
46,proxy_4,3,routing,4
13,proxy_3,4,routing,3
47,proxy_4,4,routing,4
13,proxy_3,1,routing,3
53,proxy_4,1,routing,4
13,proxy_3,2,routing,3
65,proxy_7,2,routing,7
13,proxy_3,2,routing,3
73,proxy_5,2,routing,5
13,proxy_3,4,routing,3
74,proxy_5,4,routing,5
13,proxy_3,2,routing,3
84,proxy_2,2,routing,2
13,proxy_3,44,routing,3
85,proxy_6,44,routing,6
13,proxy_3,1,routing,3
86,proxy_7,1,routing,7
13,proxy_3,43,routing,3
96,proxy_7,43,routing,7
14,proxy_4,5,routing,4
18,proxy_3,5,routing,3
14,proxy_4,15,routing,4
20,proxy_0,15,routing,0
14,proxy_4,14,routing,4
22,proxy_6,14,routing,6
14,proxy_4,1,routing,4
34,proxy_3,1,routing,3
14,proxy_4,10,routing,4
38,proxy_6,10,routing,6
14,proxy_4,25,routing,4
41,proxy_8,25,routing,8
14,proxy_4,1,routing,4
42,proxy_6,1,routing,6
14,proxy_4,21,routing,4
52,proxy_3,21,routing,3
14,proxy_4,6,routing,4
60,proxy_3,6,routing,3
14,proxy_4,2,routing,4
61,proxy_3,2,routing,3
14,proxy_4,1,routing,4
65,proxy_7,1,routing,7
14,proxy_4,13,routing,4
73,proxy_5,13,routing,5
14,proxy_4,2,routing,4
74,proxy_5,2,routing,5
14,proxy_4,1,routing,4
96,proxy_7,1,routing,7
14,proxy_4,2,routing,4
114,proxy_3,2,routing,3
14,proxy_4,3,routing,4
115,proxy_3,3,routing,3
18,proxy_3,2,routing,3
20,proxy_0,2,routing,0
18,proxy_3,2,routing,3
21,proxy_4,2,routing,4
18,proxy_3,4,routing,3
22,proxy_6,4,routing,6
18,proxy_3,8,routing,3
38,proxy_6,8,routing,6
18,proxy_3,9,routing,3
42,proxy_6,9,routing,6
18,proxy_3,1,routing,3
46,proxy_4,1,routing,4
18,proxy_3,18,routing,3
53,proxy_4,18,routing,4
18,proxy_3,2,routing,3
65,proxy_7,2,routing,7
18,proxy_3,1,routing,3
73,proxy_5,1,routing,5
18,proxy_3,3,routing,3
84,proxy_2,3,routing,2
18,proxy_3,1,routing,3
97,proxy_2,1,routing,2
18,proxy_3,1,routing,3
117,proxy_6,1,routing,6
19,proxy_1,2,routing,1
20,proxy_0,2,routing,0
19,proxy_1,4,routing,1
22,proxy_6,4,routing,6
19,proxy_1,1,routing,1
34,proxy_3,1,routing,3
19,proxy_1,1,routing,1
39,proxy_4,1,routing,4
19,proxy_1,1,routing,1
47,proxy_4,1,routing,4
19,proxy_1,1,routing,1
84,proxy_2,1,routing,2
20,proxy_0,17,routing,0
22,proxy_6,17,routing,6
20,proxy_0,1,routing,0
34,proxy_3,1,routing,3
20,proxy_0,15,routing,0
41,proxy_8,15,routing,8
20,proxy_0,5,routing,0
52,proxy_3,5,routing,3
20,proxy_0,2,routing,0
53,proxy_4,2,routing,4
20,proxy_0,14,routing,0
60,proxy_3,14,routing,3
20,proxy_0,1,routing,0
65,proxy_7,1,routing,7
20,proxy_0,1,routing,0
73,proxy_5,1,routing,5
20,proxy_0,1,routing,0
74,proxy_5,1,routing,5
20,proxy_0,1,routing,0
85,proxy_6,1,routing,6
20,proxy_0,3,routing,0
91,proxy_7,3,routing,7
20,proxy_0,4,routing,0
96,proxy_7,4,routing,7
20,proxy_0,1,routing,0
102,proxy_8,1,routing,8
20,proxy_0,11,routing,0
114,proxy_3,11,routing,3
20,proxy_0,4,routing,0
115,proxy_3,4,routing,3
21,proxy_4,1,routing,4
22,proxy_6,1,routing,6
21,proxy_4,4,routing,4
35,proxy_3,4,routing,3
21,proxy_4,3,routing,4
38,proxy_6,3,routing,6
21,proxy_4,3,routing,4
41,proxy_8,3,routing,8
21,proxy_4,1,routing,4
60,proxy_3,1,routing,3
21,proxy_4,2,routing,4
73,proxy_5,2,routing,5
21,proxy_4,5,routing,4
84,proxy_2,5,routing,2
21,proxy_4,11,routing,4
85,proxy_6,11,routing,6
21,proxy_4,2,routing,4
97,proxy_2,2,routing,2
21,proxy_4,1,routing,4
114,proxy_3,1,routing,3
21,proxy_4,6,routing,4
115,proxy_3,6,routing,3
21,proxy_4,2,routing,4
117,proxy_6,2,routing,6
22,proxy_6,1,routing,6
34,proxy_3,1,routing,3
22,proxy_6,5,routing,6
35,proxy_3,5,routing,3
22,proxy_6,1,routing,6
39,proxy_4,1,routing,4
22,proxy_6,12,routing,6
41,proxy_8,12,routing,8
22,proxy_6,16,routing,6
52,proxy_3,16,routing,3
22,proxy_6,11,routing,6
53,proxy_4,11,routing,4
22,proxy_6,3,routing,6
60,proxy_3,3,routing,3
22,proxy_6,1,routing,6
61,proxy_3,1,routing,3
22,proxy_6,35,routing,6
65,proxy_7,35,routing,7
22,proxy_6,5,routing,6
73,proxy_5,5,routing,5
22,proxy_6,4,routing,6
74,proxy_5,4,routing,5
22,proxy_6,4,routing,6
84,proxy_2,4,routing,2
22,proxy_6,7,routing,6
86,proxy_7,7,routing,7
22,proxy_6,3,routing,6
89,proxy_5,3,routing,5
22,proxy_6,2,routing,6
96,proxy_7,2,routing,7
22,proxy_6,1,routing,6
114,proxy_3,1,routing,3
22,proxy_6,6,routing,6
115,proxy_3,6,routing,3
34,proxy_3,2,routing,3
